Date,Reviews,Username,Stars,Helpful
29-Jul-18,"Awesome app, I use it all the time and so does my family. PS please update this app so it can go more than 1600 miles or more please because it won't go to Florida from Massachusetts other than that great work guys",sean noonan,Rated 5 stars out of five stars,28
30-Jul-18,"To be honest, one of the best free navigation out there! There's only 1 thing that could make it better, and that's traffic lane info. I know that GPS isn't precise enough to determine which lane I'm in, but it would be nice to see which lane I should be in.",Mikls Galicz,Rated 4 stars out of five stars,11
4-Aug-18,"This app has many cool features including hazards, real time traffic, etc. That alone is worth it. Navigation is good, but not great. No offline maps mean no good on road trips. Also difficult to select your own route. Not compatible with Bluetooth. Upset it no longer has friend scoreboard or pe...
Full Review",Christopher Colwell,Rated 3 stars out of five stars,2
7-Aug-18,"Absolutely love the app, the alerts are great as is the interactive capabilities. Major downside is that it has caused massive screen burn on my phone and has now invalidated the warranty on my brand new Samsung galaxy s8+!! I'm not happy about this and was w/o seeing if you are willing to do an...
Full Review",mark nice,Rated 2 stars out of five stars,
1-Aug-18,Awesome wonderful help me fiind anywhere amazing love it help me lot ummm problems internet pope when i leave my home other place wont work GPS problem!! Why ? One thing plm internet far away somewhere not helped me damn it true,Kathy Taylor,Rated 5 stars out of five stars,61
1-Aug-18,"Very Frustrated!!! Used to love Waze, but that was when I could CHOOSE MY FRIENDS and just click on their pic to send ETA! NOW we all have to be connected to Facebook to see each other. Can no longer see who's driving, view/follow their drive when sent to me, etc. Why did you make this change WA...
Full Review",D Rho,Rated 2 stars out of five stars,6
5-Aug-18,"Loved using Waze but after I factory reset my phone and after I downloaded the Waze app again my account can not be verified. When I enter my phone number it pulls up my credentials. I click yes it's me then it tells me my account has been lost somewhere in the stratosphere. I'm very disappointed...
Full Review",A Google user,Rated 4 stars out of five stars,
31-Jul-18,"Recently I've had many problems with Waze, both on my phone and my wife's. We used to be able to share a drive and see where the person was, yet without changing any settings it'll now show the route but does not show where the driver is. Hopeless when you want to know when they are getting home...
Full Review",Andy Worth,Rated 3 stars out of five stars,
29-Jul-18,"Have this on windows phone and it is a beast. I still use it on windows phone. I'm not sure why but even though this is more frequently updated, the windows phone version is better for me. Be good if can add width restrictions as I use a van and too many times end up stuck. Update.... Android au...
Full Review",Adolfo Moreno,Rated 4 stars out of five stars,6
7-Aug-18,Sometimes Waze gets it right. But sometimes gets it completely wrong. It completely screwed me over today. It updates ETA when it's too late and you can't exit the highway to avoid a two-hour delay.,Bea P,Rated 2 stars out of five stars,
7-Aug-18,"EDIT: Integration with Android Auto has become available the default app (without needing a compatible car) and it's a great improvement! Still needs a lot of work before it becomes my daily navigation. Voice search is broken via Android auto, brings up results from another state with the wrong ...
Full Review",Justin Valerio,Rated 4 stars out of five stars,8
31-Jul-18,There is no such thing called satnav. All land based.. Satellites are hoax. Use Waze in cumbria you will see... Most places are either wrong or missing.,Ayhan Dalgic,Rated 2 stars out of five stars,
6-Aug-18,"Been using this app for some time and it was great. Just used the app to get me to Dover all good, but once in France it says ""cannot connect to server"" so using Google maps instead... Shocking",Scott Watson,Rated 2 stars out of five stars,
5-Aug-18,"Something changed, not sure what, but repeatedly it will direct me into bad traffic, when faster options exist. Recently had option for a faster route, just as I passed the exit (cause Waze estimated route I took to be 10% faster), suddenly I hear a warning for traffic ahead as it said to go 10 ...
Full Review",True Faith Walk,Rated 3 stars out of five stars,2
31-Jul-18,"I don't know what happened but this app runs SO SLOW!!! It freezes and crashes and nothing responds. Updates, restarts, loading, none of it works to resolve it. Uninstalled. Google GPS works fine.",Maranda Morton,Rated 1 stars out of five stars,4
5-Aug-18,"Drove to the States & back to Canada using this app & never got lost with all the construction & detours, it even warned of police presence ahead & any traffic accidents or slow moving traffic conditions. Have recommended to friends.",Elle Bee,Rated 5 stars out of five stars,1
4-Aug-18,"I have new phone Samsung galaxy s7 edge and Waze do not recognise me and the funny side it's oh you look familiar, in last bit where you click ( Yes, is me ) ( Sorry despite all your efforts we are unable to verify your account, it must be lost somewhere in the stratosphere. And I've been using ...
Full Review",Zena Ali,Rated 2 stars out of five stars,1
3-Aug-18,"Right, since last update on 29th July, waze drops GPS lock when using android auto, as soon as phone screen turns off, and as soon as you turn back on lock is resumed. This is when using full android auto bia cable to car. Pretty sure this is a waze issue not android auto as timed with your last...
Full Review",Andrew Brown,Rated 1 stars out of five stars,4
29-Jul-18,"Love the app. Only issue I have is how difficult it is to interact with the map. Also. When u search for gas along a route, it shows us all the stations at the end of the route first on the map, forcing u to go swipe the crappy map back to your location",Robert Nadeau,Rated 4 stars out of five stars,11
