Date,Reviews,Username,Stars,Helpful
6-Aug-18,"Google Maps is constantly putting me in the Wrong place. I have to correct them all the time. I don't live in the Street Out In FRONT OF MY APARTMENT! I am Disabled, Elderly, and in a Wheelchair.,. NOT Nice of you GOOGLE.",A Google user,Rated 3 stars out of five stars,3
1-Aug-18,"Though this app regularly get me to where I want to, our trip to Vancouver was a whole other story. Twice it sent us on obscure out of the way routes. Luckily my wife's Maps app had figured the correct way to go before I lost my sanity. Same app, different directions... Neato.",Billy Devlin,Rated 1 stars out of five stars,16
5-Aug-18,"Keep getting error message ""can't connect."" I'm clearly connected to the internet and it's acting like I'm in offline mode. Need this fixed immediately!!!!",Brandon Elkert,Rated 5 stars out of five stars,15
1-Aug-18,This thing is taking forever to find routes and previously the app worked fine. Get this fixed google not expected this from you. Seeing how far is the place from my location is like I have to wait for the time in which I can book a cab. What is going on with you guys. Totally disappointed.,Kunal sharma,Rated 3 stars out of five stars,7
2-Aug-18,Suddenly I just can't check the details of every place. It keeps saying I'm offline when I'm not. Other network functions are fine. I can search or check my lists. So annoying please fix this thanks a lot!,,Rated 1 stars out of five stars,7
3-Aug-18,A five star rating would have been given until the recent updates to the app. Navigation is off on selected destinations and why are there pop up ads when driving??? Want a better rating... fix your apps and get rid of the pop ups.,James Siders,Rated 4 stars out of five stars,3
1-Aug-18,There needs to be a pause button so you can go into a services without it trying to reroute you. The X needs to move to cancel a trip. Soo many trips end because I've accidentally pushed it before I've reached my destination,Chris Seager,Rated 4 stars out of five stars,4
4-Aug-18,So laggy lately and ends up freezing my whole phone. Crashes so much lately. I ahte all the new updates they keep making the app worse and worse.,Neha Jani,Rated 1 stars out of five stars,3
2-Aug-18,"Every time I start the navigation, the current location jumps to a random location. Completely unusable... (I've tried to clear data, install again and even with a different Google account)",R. Tourian,Rated 1 stars out of five stars,4
1-Aug-18,"Used to be an app I used daily, now it cannot find a route to anywhere. That was the main use for it and now it's easier to walk to my car and boot up the sat-nav.",A Google user,Rated 1 stars out of five stars,28
31-Jul-18,It's a great app. Use it all the time. But the maps on alot of the places where I go are close to a decade out of date on street view.,Steven Page,Rated 3 stars out of five stars,19
2-Aug-18,"It was brilliant until yesterday's update! Now the directions are all over the place, particularly when using multi-destinations. Please fix then 5 stars again!",Sal Monella,Rated 3 stars out of five stars,10
4-Aug-18,It has missed two road closers for me in the past two days. Is there a problem? It used to know about one of them.,Julia Ray,Rated 1 stars out of five stars,2
1-Aug-18,"Works great! One exception. Won't keep recent or for that matter, any past locations. Must continually re-enter addresses. Needs some kind of bookmark feature! ",ottawahomepainting com Henry Harter,Rated 5 stars out of five stars,14
1-Aug-18,"The best sat nav for the UK, the reroute feature has saved me many times from serious congestion. The timeline function is also fun to see where you have been",The Occasional Comment,Rated 5 stars out of five stars,9
5-Aug-18,No delete Features on Share Location. When someone deactivate their share location profile. it's just hanging there with grey color. You can do better Google,Marc Sanchez,Rated 3 stars out of five stars,
6-Aug-18,Its weird how every time I use maps it automatically open my camera and take tens of photos without even my permission. I disable its access to my camera but still happen. It never happen when I open other apps. Its really annoying.,Agus Prianto,Rated 3 stars out of five stars,
6-Aug-18,"Horrible annoying new feature when you hit the home button it doesn't minimize the app it makes it smaller no matter how many times I hit the home button I still have to go click the little window off!!!!! Horrible!!!! If I can turn it off I'll give 5 stars. This is the only reason for 1 star be...
Full Review",Charles Day,Rated 1 stars out of five stars,
3-Aug-18,"GPS of my location is off by about 3 miles. Cannot get my home address and location correct. Seems to try and use me as a lab mouse to test out times on outlandish, out of the way routes that take twice as long to get where I'm going. When I don't take the route it wants it keeps trying to rerout...
Full Review",Natalie Church,Rated 2 stars out of five stars,
1-Aug-18,"When it works as it should, it's great with exceptionally clear guidance - both on screen and by voice. But I have two annoying issues. Despite clearing data on and off line and re-entering my home address several times, Google Maps always navigates to a random 'Home' address. Secondly, I'm alwa...
Full Review",A Google user,Rated 3 stars out of five stars,26
2-Aug-18,"Give me an option to disable automatic faster route changes. I pick the routes I want for a reason, but every five minutes it automatically changes my directions. Infuriating.",Scott McKenzie,Rated 1 stars out of five stars,6
31-Jul-18,"I love Maps but I go the same route to work everyday, and everyday Maps tries to take me 5 minutes out of the way making a bunch of U turns...I don't understand why the app hasn't 'learned' the shorter way exists. Drives me nuts",Meghan Simon,Rated 3 stars out of five stars,22
2-Aug-18,"I use this app frequently for directions. I've found it to be very helpful and accurate until today. While driving to a new location in Dallas, the directions told me to go half way around the roundabout. There was no roundabout... only a y with the left fork being a freeway on ramp.",Debbie Bayam Dillon,Rated 4 stars out of five stars,1
3-Aug-18,"Really slooow. I used to love this app. It was one of the reasons I wanted a smart phone. We relied on it often when traveling. It was wonderful. Now it is so slow that it's useless (I tried uninstalling and reinstalling, cleared data and the cache, but that didn't help). It takes forever to open...
Full Review",Sandy Walker,Rated 3 stars out of five stars,
3-Aug-18,"I keep getting ""can't connect"" error message. This app is useless to me right now.",Tiffany Macy,Rated 1 stars out of five stars,5
5-Aug-18,"Use this app often. Pretty useful. But hard to drag the blue line (original route) to other roads. Slow, often direct to the next turn after passing the street.",Jessica Gunawan,Rated 3 stars out of five stars,
6-Aug-18,Use it all the time for work being I travel and it's wonderful.... just wish we could see what the speed limit was on here being some roads don't have a sign for miles. It does it on Apple phones but not android.,Eric Campbell,Rated 1 stars out of five stars,2
2-Aug-18,New update really sucks!!!! Doesn't do anything except show where I was when I started it. No arrow or turn directions now. Am not happy with how it is now. You really need to fix it fast.,A Google user,Rated 1 stars out of five stars,3
